"trainer/global_step","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step__MIN","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step__MAX","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/precision","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/precision__MIN","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/precision__MAX"
"204","8","8","8","0.926925003528595","0.926925003528595","0.926925003528595"
"409","15","15","15","0.9266601800918579","0.9266601800918579","0.9266601800918579"
"614","22","22","22","0.9415934681892395","0.9415934681892395","0.9415934681892395"
"819","29","29","29","0.9491927623748779","0.9491927623748779","0.9491927623748779"
"1024","36","36","36","0.9483982920646667","0.9483982920646667","0.9483982920646667"
"1229","44","44","44","0.9586125612258911","0.9586125612258911","0.9586125612258911"
"1434","51","51","51","0.9524819850921631","0.9524819850921631","0.9524819850921631"
"1639","58","58","58","0.9622089862823486","0.9622089862823486","0.9622089862823486"
"1844","65","65","65","0.9561534523963928","0.9561534523963928","0.9561534523963928"
"2049","72","72","72","0.9721120595932007","0.9721120595932007","0.9721120595932007"
"2254","80","80","80","0.9643397331237793","0.9643397331237793","0.9643397331237793"
"2459","87","87","87","0.9567427039146423","0.9567427039146423","0.9567427039146423"
"2664","94","94","94","0.9500731825828552","0.9500731825828552","0.9500731825828552"
"2869","101","101","101","0.9640662670135498","0.9640662670135498","0.9640662670135498"
"3074","108","108","108","0.9668230414390564","0.9668230414390564","0.9668230414390564"
