"trainer/global_step","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step__MIN","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step__MAX","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/recall","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/recall__MIN","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/recall__MAX"
"204","8","8","8","0.7657140493392944","0.7657140493392944","0.7657140493392944"
"409","15","15","15","0.8013022541999817","0.8013022541999817","0.8013022541999817"
"614","22","22","22","0.8361177444458008","0.8361177444458008","0.8361177444458008"
"819","29","29","29","0.8108089566230774","0.8108089566230774","0.8108089566230774"
"1024","36","36","36","0.7939119935035706","0.7939119935035706","0.7939119935035706"
"1229","44","44","44","0.8212961554527283","0.8212961554527283","0.8212961554527283"
"1434","51","51","51","0.8581544160842896","0.8581544160842896","0.8581544160842896"
"1639","58","58","58","0.8368940353393555","0.8368940353393555","0.8368940353393555"
"1844","65","65","65","0.8467158675193787","0.8467158675193787","0.8467158675193787"
"2049","72","72","72","0.7381212115287781","0.7381212115287781","0.7381212115287781"
"2254","80","80","80","0.7905269861221313","0.7905269861221313","0.7905269861221313"
"2459","87","87","87","0.8455138802528381","0.8455138802528381","0.8455138802528381"
"2664","94","94","94","0.8471575975418091","0.8471575975418091","0.8471575975418091"
"2869","101","101","101","0.855644702911377","0.855644702911377","0.855644702911377"
"3074","108","108","108","0.8456907272338867","0.8456907272338867","0.8456907272338867"
